Author_id,Author,ORCID,Works Count,Cited By Count,2-Year Mean Citedness,H-Index,i10-Index,Last Known Institution,Research Concepts
A5056988199,J. Osada,,4,46,2,2,2,Instituto de Investigación Sanitaria Aragón,"Psychology, Computer science, Biology, Mathematics, Linguistics, Biochemistry, History, Epistemology, Geology, Philosophy, Mathematics education, Paleontology, Archaeology, Chemistry, Geography, Big Five personality traits, Genetic code, Psychoanalysis, Pedagogy, Food science, Economic growth, Genetics, Apolipoprotein E, Apolipoprotein B, Computational biology"
A5057436344,Ashutosh Vishwa Bandhu,,4,35,0,3,2,University of Delhi,"Computer science, Biology, Genetic code, Genetics, Biochemistry, Gene, Chemistry, Amino acid, DNA, Ecology, Mathematics, Quantum mechanics, Medicine, Phylogenetics, Horizontal gene transfer, Environmental health, Statistics, Machine learning, Physics, Geology, Engineering, Genome, Sociology, Demography, Artificial intelligence"
A5057629667,John V. Carlson,,4,44,0,3,1,Menlo School,"Biology, Chemistry, Genetics, Biochemistry, RNA, Gene, Molecular biology, Transfer RNA, Amino acid, Lysine, Genetic code, Political science, Ecology, Information retrieval, Computer science, Chromatography, Computational biology, Polynucleotide, Engineering, World Wide Web, Library science, Organic chemistry, Metallurgy, Materials science, Programming language"
A5058838256,Jagamohan Chhatai,,4,61,0,1,1,Centre for Cellular and Molecular Biology,"Genetics, Biochemistry, Biology, Gene, Chemistry, Computational biology, microRNA, RNA, Genome, Human genome, DNA, Genetic code, Psychology, Political science, Neuroprotection, Human genetics, Bioinformatics, Long non-coding RNA, Quantum mechanics, Medicine, Mechanism (biology), History, Pharmacology, Transgene, Messenger RNA"
A5058998973,Kezia J Ann,https://orcid.org/0000-0003-0081-8657,4,27,5,2,2,Institute of Molecular Biology,"Genetics, Biochemistry, Biology, Cell biology, Chemistry, Gene, RNA, Medicine, Internal medicine, Transfer RNA, Immunology, Amino acid, DNA, Enantiomer, Protein biosynthesis, Depolarization, Genetic code, Phosphorylation, Biophysics, Ubiquitin, Mitochondrion, Proliferating cell nuclear antigen, Computer science, Membrane, Linguistics"
A5059286262,Laura A. Kavanaugh,,4,129,0,2,2,Duke University Hospital,"Genetics, Biochemistry, Biology, Gene, Chemistry, Computational biology, Genome, Introgression, RNA, Medicine, Evolutionary biology, Environmental health, Comparative genomics, Sociology, microRNA, Demography, Gene expression, Genomics, Non-coding RNA, Yeast, Population, Gene duplication, Genetic code, Ecology, RNA editing"
A5059411012,Anna Chung,https://orcid.org/0000-0001-5561-2651,4,39,5.25,3,2,Rice University,"Genetics, Biology, Chemistry, Nuclear magnetic resonance, Biochemistry, Medicine, Physics, Combinatorial chemistry, Mathematics, Computational biology, Gene, Mathematical analysis, Antibody, Organic chemistry, Enzyme, Materials science, Conjugate, Immunology, Amino acid, Bioorthogonal chemistry, Protein biosynthesis, Genetic code, Click chemistry, Stereochemistry, Cell biology"
A5059415770,Xuemei Gong,,4,9,1.5,2,0,BGI Group (China),"Genetics, Biochemistry, Biology, Gene, Chemistry, Computational biology, Genetic code, Nuclear magnetic resonance, Bioinformatics, RNA, Physics, Genome, Transfer RNA, Organic chemistry, Enzyme, Synthetic biology, Amino acid, DNA, Yeast, Aminoacyl tRNA synthetase, Amino Acyl-tRNA Synthetases, Metabolic engineering, Ecology, Stop codon, Key (lock)"
A5059787453,Dharma Theja Nannapaneni,,4,23,0,2,1,University of Arkansas at Fayetteville,"Biology, Organic chemistry, Chemistry, Physics, Mathematics, Computer science, Biochemistry, Stereochemistry, Medicine, Genetic code, Algorithm, Dermatology, Calibration curve, Total synthesis, Anesthesia, Chemical engineering, Chromatography, Nuclear magnetic resonance, Genetics, Botany, Bioinformatics, NAD+ kinase, Dosage form, Dissolution, Microbiology"
A5060057378,Andrew Podlazov,,4,1,0,1,0,N/A,"Computer science, Cartography, Quantum mechanics, Physics, Geography, Scale (ratio), XML, Genetic code, Stop codon, Economic geography, Frameshift mutation, Mathematics, Social science, Exon, Mathematical physics, Computer security, Markup language, Genetics, Biochemistry, Nonsense, Missense mutation, Biology, Nonsense mutation, Gene, Statistics"
A5060059517,Milena M. Arruda,https://orcid.org/0000-0002-5476-7990,4,1,0,1,0,Universidade Federal de Campina Grande,"Computer science, Algorithm, Mathematics, Genetics, Biochemistry, Biology, Statistics, Chemistry, Social science, Computational biology, Gene, Sociology, Coding (social sciences), DNA, Genetic code, Ecology, Speech recognition, Computer vision, BCH code, DNA sequencing, Spectral envelope, Decoding methods, Adaptive coding, Botany, Quantum mechanics"
A5060480268,Yong Kang Zhang,,4,731,0,4,4,European Molecular Biology Laboratory,"Genetics, Biology, Organic chemistry, Chemistry, Biochemistry, Medicine, RNA, Gene, Messenger RNA, Catalysis, Protein biosynthesis, Antimicrobial, Genetic code, Dermatology, Combinatorial chemistry, Computer science, Active site, Nuclear magnetic resonance, Virulence, Cleavage and polyadenylation specificity factor, Stereochemistry, Parasite hosting, Ribosome, Microbiology, Pharmacology"
A5060826410,Jensen Wong,,4,47,3,3,2,University of British Columbia,"Computer science, Engineering, Chemistry, Genetics, Biochemistry, Medicine, Telecommunications, Biology, Operating system, Internal medicine, World Wide Web, Linear code, Genetic code, Algorithm, Link layer, Slow-start, Psychology, Anthropology, Physical layer, Zeta-TCP, TCP Friendly Rate Control, Computer network, Transmission Control Protocol, Mathematics, Social science"
A5061185767,Yuka Yamaki,,4,6,3,1,0,Thomas Jefferson University,"Genetics, Biochemistry, RNA, Biology, Gene, Transfer RNA, Chemistry, Methylation, Amino acid, DNA, Genetic code, Computational biology, Cell biology, Messenger RNA, Genome, Translation (biology), Aminoacylation, Combinatorial chemistry, Mitochondrial DNA, Mitochondrion, Linkage (software), Nuclear magnetic resonance, Stereochemistry, Hydrolysis, Posttranslational modification"
A5061277420,Mélanie Boisnard,,4,7,0,1,0,Laboratoire de Biologie Moléculaire de la Cellule,"Genetics, Biochemistry, Biology, Gene, Chemistry, Computer science, Computational biology, Programming language, Psychology, Mathematics, Medicine, Messenger RNA, Statistics, Cloning (programming), Molecular biology, Pregnancy, Genetic code, Political science, Food science, Computer security, Descriptive statistics, Construct validity, Economic growth, Alpha (finance), Clinical psychology"
A5061588508,Huan-Lin Wu,,4,56,0,2,2,University of Bath,"Genetics, Biochemistry, Biology, Gene, Chemistry, Physics, Genome, Nucleotide, Guanine, Crystallography, Genetic code, Biophysics, Mathematics, Domain (mathematical analysis), Computer science, Nuclear magnetic resonance, Open reading frame, Protein structure, Signal transduction, Computational biology, Stereochemistry, Medicine, Evolutionary biology, Codon usage bias, Cell biology"
A5061651540,Demet Gurel,,4,0,0,0,0,Touro College,"Mathematics, Combinatorics, Chemistry, Geometry, Biology, Discrete mathematics, Fibonacci number, Genetics, Biochemistry, Physics, Crystallography, Genetic code, Psychology, Golden ratio, Polyhedron, Simplex, Quantum mechanics, Social psychology, Gene, Tetrahedron, Electrical engineering, Engineering, Congruence (geometry), Composite material, Organic chemistry"
A5062913655,H. B. Humeniuk,,4,0,0,0,0,N/A,"Medicine, Biology, Computer science, Genetics, History, Biochemistry, Microbiology, Engineering, Philosophy, Pathology, Artificial intelligence, Archaeology, Chemistry, Systems engineering, Geography, Astronomy, Genetic code, Dermatology, Political science, Ecology, Vaccination, Theology, Computer vision, Physiology, Naturalism"
A5063396676,Matt McIntosh,,4,35,0,2,2,University of Arkansas at Fayetteville,"Biology, Political science, Computer science, Biochemistry, Physics, Organic chemistry, Chemistry, Law, Finance, Genetic code, Ecology, Combinatorial chemistry, Information retrieval, Investment (military), Agricultural science, Environmental science, Linguistics, Nuclear magnetic resonance, Agricultural economics, Genetics, Quantum mechanics, Stereochemistry, Intramolecular force, NAD+ kinase, Big data"
A5063884370,Le Tong,,4,31,6.5,3,1,Peking University,"Chemistry, Genetics, Biochemistry, Biology, Gene, Stop codon, Computer science, RNA, Computational biology, Medicine, Anatomy, Internal medicine, Endocrinology, Molecular biology, Transfer RNA, Amino acid, Duchenne muscular dystrophy, Muscular dystrophy, Aminoacyl tRNA synthetase, Skeletal muscle, Dystrophin, Protein biosynthesis, Genetic code, Electrode, Antenna (radio)"
A5063891083,Vasantha Mahalingam,,4,40,0,2,1,National Institute of Research in Tuberculosis,"Computational biology, Biology, Computer science, Genetics, Biochemistry, Bioinformatics, Medicine, Gene, Pathology, Chemistry, Genome, Artificial intelligence, DNA, Mycobacterium tuberculosis, Tuberculosis, Microarray analysis techniques, Genetic code, Gene expression profiling, Gene chip analysis, Principal component analysis, Computer network, Computer vision, Mathematics, Docking (animal), GC-content"
A5065206268,P. Schimmel,,4,0,0,0,0,Scripps Research Institute,"Genetics, Biochemistry, RNA, Computational biology, Biology, Gene, Transfer RNA, Chemistry, Geometry, Genetic code, Molecule, Mathematics, Computer science, Nuclear magnetic resonance, Quantum mechanics, Ribosomal RNA, Evolutionary biology, Physics, Extant taxon, Organic chemistry, Enzyme, Amino acid, DNA, Cusp (singularity), Aminoacyl tRNA synthetase"
A5065847955,Radrizzani Martin,,4,20,0,1,1,N/A,"Genetics, Biochemistry, Medicine, Biology, Gene, Chemistry, Computational biology, Internal medicine, Genome, Genetic code, Function (biology), Computer science, Linguistics, RNA, Evolutionary biology, Nucleic acid sequence, Coding region, Cell biology, Process (computing), Operating system, Copy-number variation, Engineering, Phenotype, Genotype, Philosophy"
A5066202741,Matthias F. Block,https://orcid.org/0000-0002-7246-2808,4,1,0,0,0,Science for Life Laboratory,"Genetics, Biochemistry, Biology, Gene, Chemistry, DNA, Genetic code, Computational biology, Amino acid, Stop codon, Bioinformatics, RNA, Transfer RNA, Aminoacyl tRNA synthetase, Protein–protein interaction, Plasmid, Ubiquitin, Proteasome, Computer science, Linguistics, Nuclear magnetic resonance, Cell biology, Proteome, Messenger RNA, Physics"
A5067067238,N Royal,,4,265,0,4,4,N/A,"Genetics, Biochemistry, Biology, Gene, Chemistry, Open reading frame, RNA, Medicine, Nucleic acid sequence, Physics, Molecular biology, Transfer RNA, Peptide sequence, Amino acid, DNA, Crystallography, Protein sequencing, Genetic code, Biophysics, Molecular cloning, Creatine kinase, Membrane, Pentapeptide repeat, Nuclear magnetic resonance, Rapid amplification of cDNA ends"
A5067263603,S. Connare,,4,13,0,1,1,Hauptman-Woodward Medical Research Institute,"Biology, Biochemistry, Chemistry, Open reading frame, Genetics, Computational biology, Gene, Peptide sequence, Genetic code, Political science, Stacking, Mathematics, Ribosomal protein, Composition (language), Linguistics, GC-content, Nuclear magnetic resonance, RNA, Ribosomal RNA, Stereochemistry, Evolutionary biology, Codon usage bias, Ribosome, Coding region, Tree (set theory)"
A5067939423,Yan Xu,https://orcid.org/0000-0001-6264-3835,4,53,0,2,2,Los Alamos National Laboratory,"Computer science, Genetics, Biochemistry, Computational biology, Biology, Gene, Genome, Chemistry, DNA, Ecology, Plasmid, Botany, Identification (biology), Mobile genetic elements, Scalability, DNA sequencing, Bioinformatics, Database, Operating system, Artificial intelligence, Annotation, Genetic code, Whole genome sequencing, Genealogy, Evolutionary biology"
A5068549543,Ed Feil,,4,46,0,1,1,University of Bath,"Genetics, Biology, Biochemistry, Gene, Chemistry, Microbiology, Exon, Bioinformatics, Transversion, Computational biology, Medicine, Evolutionary biology, Codon usage bias, Coding region, Geology, Synonymous substitution, Genome, Paleontology, Transition (genetics), Mutation, Bacteria, DNA, Degeneracy (biology), Genetic code, Ecology"
A5068620545,Alfred Ahne,,4,42,0,2,1,Helmholtz Zentrum München,"Genetics, Biochemistry, Biology, Chemistry, Gene, DNA, Mitochondrial DNA, RNA splicing, RNA, Computational biology, Medicine, Intron, Cell biology, Genome, Mutant, Molecular biology, Immunology, Mutation, Genetic code, Mutagenesis, Plasmid, Extracellular, Cell cycle, Proliferating cell nuclear antigen, Symbiosis"
A5068816278,Leena Taha,https://orcid.org/0009-0002-7750-5309,4,62,0,2,1,Mansoura University,"Biology, Chemistry, Genetics, Biochemistry, Gene, Agronomy, Ecology, Botany, Ribosomal RNA, Computational biology, Horticulture, Organic chemistry, DNA, Genetic code, Phosphorylation, Mutagenesis, Tap water, genomic DNA, Molecular mechanics, Vegetative reproduction, Molecule, Mathematics, Monoamine oxidase B, Environmental science, Computer science"
A5068984468,Szu-Chi Ho,,4,224,0,4,4,Duke-NUS Medical School,"Genetics, Biochemistry, Medicine, Biology, Gene, Internal medicine, Chemistry, Mutant, Cancer research, DNA, Mutagenesis, Computational biology, Cell biology, Cancer, Molecular biology, Mutation, Genetic code, Stop codon, Ubiquitin, Nuclear magnetic resonance, RNA splicing, Signal transduction, RNA, Nonsense-mediated decay, PI3K/AKT/mTOR pathway"
A5069324547,Pratibha Pant,,4,18,2,2,1,University of Delhi,"Genetics, Biology, Biochemistry, Botany, Medicine, Gene, Geology, Paleontology, Chemistry, Agronomy, Ecology, Horticulture, Brassica, Introgression, Genetic code, Environmental science, Computer science, Linguistics, Computational biology, Fungicide, Missense mutation, Restoration ecology, Rhizosphere, Codon usage bias, Abiotic stress"
A5069355707,Linzhen Hu,,4,38,8,3,2,Zhejiang University,"Genetics, Biochemistry, Computational biology, Biology, Chemistry, Gene, Amino acid, DNA, Genetic code, Bioinformatics, Protein biosynthesis, Auxotrophy, Combinatorial chemistry, Ubiquitin, Molecule, Computer science, RNA splicing, Quantum mechanics, Histone, RNA, Cell biology, Promoter, Proteome, Messenger RNA, Hydrogen bond"
A5069672948,Walter Santos,https://orcid.org/0000-0001-7025-2295,4,4,0,1,0,Universidad Nacional Autónoma de México,"Biology, Genetics, Biochemistry, Computational biology, Gene, Physics, Chemistry, Phylogenetic tree, Bioinformatics, Evolutionary biology, Phylogenetics, Genome, Genetic code, Web server, Monophyly, genomic DNA, Ecology, Computer vision, Theoretical physics, Mathematics, Visualization, Mathematical physics, Computer science, 16S ribosomal RNA, GC-content"
A5069885464,Ichirou Motoki,,4,57,0,1,1,Tokyo Institute of Technology,"Genetics, Biochemistry, RNA, Biology, Gene, Transfer RNA, Organic chemistry, Chemistry, DNA, Stereochemistry, Transcription factor, Messenger RNA, Physics, Translation (biology), Hydrogen peroxide, Footprinting, Yeast, Base sequence, Genetic code, Phosphorylation, Stop codon, T arm, Molecule, Reagent, Computer science"
A5070014130,Denison H. C. Chang,,4,13,9,2,1,University of Melbourne,"Biology, Genetics, Computational biology, Chemistry, Computer science, Bioinformatics, Materials science, Genetic code, Combinatorial chemistry, Electronic engineering, Orthodontics, Mathematics, Computer security, Nuclear magnetic resonance, Biochemistry, Medicine, Telecommunications, Scheme (mathematics), Microbiology, Process (computing), Gene, Operating system, Electrical engineering, Physics, Internal medicine"
A5070277730,May Li,,4,582,0,4,3,Columbia University,"Genetics, Biochemistry, Biology, Gene, Chemistry, Mitochondrial DNA, RNA, Transfer RNA, Amino acid, Genetic code, Nuclear magnetic resonance, Cell biology, Physics, Organic chemistry, Enzyme, DNA, Astronomy, Public administration, Geophysics, Phosphorylation, Coenzyme Q – cytochrome c reductase, Political science, Stop codon, Mitochondrion, Cytochrome c"
A5070858714,Roland Pohlmeyer,,4,102,11,4,4,Max Planck Institute of Immunobiology and Epigenetics,"Genetics, Biochemistry, Biology, Gene, Chemistry, Medicine, Cell biology, Internal medicine, Receptor, Immunology, Immune system, breakpoint cluster region, Molecular biology, Antibody, B-cell activating factor, B cell, CD34, Genetic code, Algorithm, Phosphorylation, Stem cell, Extracellular, Mathematics, Syk, Computer science"
A5070991324,Paul Mgbam,,4,58,0,3,2,Linac Coherent Light Source,"Crystallography, Genetics, Biochemistry, Biology, Physics, Chemistry, Quantum mechanics, Optics, Materials science, Laser, Genetic code, Biophysics, Computer science, 30S, RNA, Ribosomal RNA, Ribosome, Gene, Transfer RNA, Femtosecond, Diffraction, Amino acid, Escherichia coli, DNA, Streptavidin"
A5071083825,Daniele Cervettini,https://orcid.org/0000-0002-8159-1222,4,167,25.5,3,3,MRC Laboratory of Molecular Biology,"Genetics, Biochemistry, RNA, Computational biology, Biology, Gene, Transfer RNA, Chemistry, Amino acid, Genetic code, DNA, Stop codon, Ribosome, Aminoacyl tRNA synthetase, Combinatorial chemistry, Nuclear magnetic resonance, Open reading frame, Stereochemistry, Codon usage bias, Messenger RNA, Electrical engineering, Physics, Engineering, Genome, Sense (electronics)"
A5072993853,Stansfield,,4,0,0,0,0,N/A,"Computer science, Physics, Engineering, Biology, History, Protein biosynthesis, Agronomy, Computer hardware, Genetic code, Psychology, Ecology, Stop codon, Electronic engineering, Speech recognition, Computer security, Environmental science, Recombinant DNA, Linguistics, Nuclear magnetic resonance, Communication, CMOS, Scalability, Optoelectronics, Genetics, Biochemistry"
A5073520498,Howard Thomas,,4,1,0,1,0,N/A,"Function (biology), Genetics, Evolutionary biology, Biology, Cell biology, Biochemistry, Medicine, Chemistry, Genetic code, Political science, Anthropology, Nucleic acid, Nuclear magnetic resonance, RNA, Computational biology, Gene, Physics, Geology, Engineering, Biomedical engineering, Organism, Sociology, Paleontology, Tissue transglutaminase, Organic chemistry"
A5073575297,Lea Mbengi,,4,34,4,2,1,Portland State University,"Genetics, Biochemistry, Biology, Gene, Chemistry, RNA, Transfer RNA, Organic chemistry, Amino acid, Genetic code, Nuclear magnetic resonance, Physics, Mutant, Catalysis, Enzyme, DNA, Aminoacyl tRNA synthetase, Metabolic engineering, Directed evolution, Permissive, Plasmid, Computer science, Active site, Computational biology, Medicine"
A5073760122,R. Arunadevi,,4,2,0,1,0,Manonmaniam Sundaranar University,"Computer science, Algorithm, Mathematics, Biology, Statistics, Physics, Engineering, Genetic code, Inverter, Stall torque, Political science, Ecology, Acoustics, Key (lock), Computer network, Data integrity, Social science, Computer security, Damping torque, Control theory (sociology), Genetics, Biochemistry, Space vector modulation, Quantum mechanics, Computational biology"
A5074037627,M J Connors,,4,135,0,3,3,University of Connecticut Health Center,"Genetics, Biochemistry, Biology, Gene, Geology, Paleontology, Chemistry, Bacteria, Bacillus subtilis, Molecular biology, DNA, Computer science, Nucleic acid sequence, Cloning (programming), Programming language, Amino acid, Bacillus megaterium, Genetic code, Mathematics, Social science, Gene cluster, Consensus sequence, Botany, Computational biology, Microbiology"
A5074219494,Niklas Freund,https://orcid.org/0000-0002-5622-9248,4,55,10,3,2,MRC Laboratory of Molecular Biology,"Genetics, Biochemistry, Biology, Chemistry, Nucleic acid, Computational biology, Gene, DNA, Mathematics, RNA, Statistics, Genetic code, Replication (statistics), Function (biology), Combinatorial chemistry, Epigenetics, Chromatography, Nuclear magnetic resonance, Bioinformatics, Stereochemistry, Medicine, Ribozyme, Evolutionary biology, Polymerase, Deoxyribozyme"
A5075432008,Dana Hogan,,4,0,0,0,0,Duke University,"Genetics, Biochemistry, Biology, Gene, Sociology, Chemistry, Genetic code, Psychology, Anthropology, Pedagogy, Stop codon, Ribosomal protein, 16S ribosomal RNA, GC-content, Open reading frame, Art history, RNA, Ribosomal RNA, Chloroplast, Computational biology, Missense mutation, Codon usage bias, Ribosome, Coding region, History"
A5075494620,Kalyn Brown,,4,261,0,2,2,University of Pittsburgh,"Biology, Chemistry, Genetics, Biochemistry, Computational biology, Gene, Nuclear magnetic resonance, Cell biology, CRISPR, Physics, Genome, Genome editing, Organic chemistry, Amino acid, Lysine, Protein biosynthesis, Genetic code, Biophysics, Function (biology), Computer science, RNA, Medicine, Evolutionary biology, Gastroenterology, Internal medicine"
A5076196727,Maria M. Garcia Alai,,4,227,0,2,2,MRC Laboratory of Molecular Biology,"Biology, Chemistry, Chromosome, Methylation, Genetics, Biochemistry, Histone, Chromatin, Heterochromatin, Gene, Amino acid, DNA, Lysine, Genetic code, Biophysics, Histone methylation, Recombinant DNA, Computer science, Epigenetics, Nuclear magnetic resonance, EZH2, Quantum mechanics, Computational biology, Photochemistry, Heterochromatin protein 1"
A5076739321,Elizabeth L. Weitzke,,4,90,0,3,3,Marine Biological Laboratory,"Genetics, Biology, Chemistry, Biochemistry, Computational biology, Biophysics, Computer science, Bioinformatics, Medicine, Cell biology, Gene, Geology, Biological system, Geometry, Protein biosynthesis, Genetic code, Psychology, Microtubule, Metabolomics, Mathematics, Linguistics, Chromatography, Motility, Quantum mechanics, RNA"
A5076756655,Zhen Ming,,4,2,0,1,0,Zhejiang University,"Genetics, Biochemistry, Biology, Organic chemistry, Chemistry, Nuclear magnetic resonance, Gene, Physics, Enzyme, Food science, Geology, Paleontology, Biosynthesis, Genetic code, Function (biology), Psychology, Ecology, Nucleic acid, Condensed matter physics, Botany, Quantum mechanics, Nonsense, Computational biology, Missense mutation, Evolutionary biology"
A5076961669,Michael Gatter,,4,248,0,3,3,TU Dresden,"Genetics, Biochemistry, Biology, Gene, Chemistry, Organic chemistry, Yeast, Yarrowia, Food science, Recombinant DNA, Nuclear magnetic resonance, NAD+ kinase, Physics, Engineering, Enzyme, Alcohol dehydrogenase, Alcohol oxidase, Ethanol, Alcohol, Pichia pastoris, Alcohol oxidoreductase, Genetic code, Ecology, Plasmid, Carotenoid"
A5076978635,Veronika Flügel,,4,50,0,2,2,Technical University of Munich,"Biochemistry, Biology, Chemistry, Genetics, Computational biology, Gene, Amino acid, Nuclear magnetic resonance, RNA, Physics, Mutant, Transfer RNA, Organic chemistry, Materials science, Geometry, Genetic code, Basis (linear algebra), Copolymer, Mutagenesis, Mathematics, Computer science, Polymerization, Histone, Chromatin, Acetylation"
A5077145656,Tat’yana Vladimirovna Venkstern,,4,12,0,1,1,N/A,"Computer science, Astronomy, Protein biosynthesis, Spectral line, Genetic code, Humanities, Political science, Nucleic acid, Genetics, Biochemistry, Quantum mechanics, RNA, Computational biology, Biology, Gene, Physics, Nucleic acid structure, Philosophy, Art, Molecular biology, Chemistry, Law, Amino acid, DNA, Minor (academic)"
A5077240732,Evan Strandquist,,4,9,2,2,0,Illinois State University,"Biochemistry, Biology, Chemistry, Biophysics, Genetics, Medicine, Combinatorial chemistry, Quantum mechanics, Gene, Optics, Physics, Internal medicine, Geology, Paleontology, Organic chemistry, Materials science, Amino acid, Bacteria, Astronomy, Genetic code, Dynamic light scattering, Psychology, Endogeny, Ecology, RNA editing"
A5077728477,Jon D. Luff,,4,476,0,4,4,Fairchild Semiconductor (United States),"Biochemistry, Biology, Chemistry, Genetics, Nuclear magnetic resonance, Gene, Physics, Organic chemistry, Amino acid, Geometry, Protein biosynthesis, Genetic code, Mathematics, Membrane, Bioinformatics, Quantum mechanics, Computational biology, Missense mutation, Codon usage bias, Mechanism (biology), Cell biology, Messenger RNA, Epistemology, Correlation, Phenotype"
A5078149910,Mavis Middlebrook,,4,55,0,4,3,Iowa State University,"Biochemistry, Biology, Chemistry, Genetics, Computer science, Membrane, Protocell, Organic chemistry, Genetic code, Phosphorylation, Biophysics, Political science, Information retrieval, Nucleic acid, Mitochondrion, Food science, Oxidative phosphorylation, RNA, Computational biology, Evolutionary biology, Astrobiology, Cell biology, Gene, Physics, World Wide Web"
A5078600953,Nanxi Wang,https://orcid.org/0000-0003-2807-1487,4,34,14,2,2,Nanjing University of Chinese Medicine,"Genetics, Biochemistry, Biology, Physics, Organic chemistry, Chemistry, Quantum mechanics, Amino acid, Nuclear magnetic resonance, Stereochemistry, Medicine, Fluorescence, Gene, Optics, DNA, Annulation, Immune system, Genetic code, RNA editing, Combinatorial chemistry, RNA-dependent RNA polymerase, RNA-binding protein, Reactive oxygen species, Transfection, RNA"
A5079075239,Scott Ms,,4,4,0,1,0,University of Sheffield,"Genetics, Biochemistry, Biology, Gene, Chemistry, Computational biology, Genome, Gene expression, Genetic code, Ecotype, Psychology, Ecology, Mathematics, Computer science, Discriminant function analysis, Open reading frame, Biological dispersal, Knowledge management, Botany, Long non-coding RNA, RNA, Ribosomal RNA, Linear discriminant analysis, Medicine, Evolutionary biology"
A5079251664,Ziheng Chen,https://orcid.org/0000-0001-5709-8529,4,37,2,3,3,Columbia University Irving Medical Center,"Genetics, Biochemistry, Computational biology, Biology, Gene, Chemistry, RNA, Cell biology, Gene expression, CRISPR, Genome, Transcriptome, Genetic code, Function (biology), Psychology, Ecology, Regulatory sequence, Transcriptional regulation, Botany, Cell growth, Long non-coding RNA, Criminology, Evolutionary biology, Cell culture, Transcription factor"
A5079676177,Le-Tian Yang,,4,110,0,3,3,Soochow University,"Genetics, Biochemistry, Biology, Gene, Chemistry, Ecology, Botany, Computational biology, Missense mutation, Geology, Phenotype, Genome, Paleontology, Mutation, Bacteria, Genetic code, Psychology, Exome sequencing, Stop codon, Frameshift mutation, Exon, 16S ribosomal RNA, Bioinformatics, RNA, Medicine"
A5080406083,Morgane Riou,,4,114,0,3,3,Institut de Biologie de l'École Normale Supérieure,"Biology, Chemistry, Genetics, Biochemistry, Gene, Biophysics, Ion channel, Glutamate receptor, NMDA receptor, Medicine, Cell biology, Protein subunit, Internal medicine, AMPA receptor, Receptor, Amino acid, Genetic code, Humanities, Psychology, Mutagenesis, Glycine receptor, Nuclear magnetic resonance, RNA, Computational biology, Ligand-gated ion channel"
A5081412474,Phoebe Yang,,4,8,0,2,0,Children's Hospital of Eastern Ontario,"Genetics, Biochemistry, Biology, Cell biology, Gene, Chemistry, Genetic code, Phosphorylation, Nuclear magnetic resonance, RNA, Medicine, Messenger RNA, Physics, Internal medicine, Pathology, Translation (biology), Transfer RNA, Organic chemistry, Allele, Enzyme, Mutation, Amino acid, DNA, Serine, Saccharomyces cerevisiae"
A5081487070,Charlène Valadon,,4,7,0.666666667,1,0,Institute of Integrative Biology of the Cell,"Computer science, Genetics, Biochemistry, Biology, Gene, Messenger RNA, Translation (biology), Chemistry, RNA, Computational biology, Philosophy, Protein biosynthesis, Eukaryotic translation, Crystallography, Genetic code, Biophysics, Molecule, Quantum mechanics, Nonsense, Structural engineering, Medicine, Missense mutation, Telecommunications, Internal ribosome entry site, Mechanical engineering"
A5081703838,M. Emilia Roulet,,4,38,6,2,2,Consejo Nacional de Investigaciones Científicas y Técnicas,"Genetics, Biochemistry, Biology, Gene, Genome, Chemistry, Phylogenetics, Phylogenetic tree, Mitochondrial DNA, Chloroplast, Evolutionary biology, Horizontal gene transfer, Plastid, Genetic code, Ecology, Nuclear gene, Mitochondrion, Computer science, GC-content, Chloroplast DNA, Oxidative phosphorylation, Botany, Convergent evolution, Parasite hosting, Codon usage bias"
A5083063824,Rachel B. Bevan,,4,639,0,3,3,McGill University,"Genetics, Biochemistry, Biology, Gene, Chemistry, Computational biology, Mathematics, Computer science, Evolutionary biology, Statistics, Genome, Artificial intelligence, Phylogenetic tree, DNA, Transposable element, Genetic code, Algorithm, Function (biology), Mitochondrial fission, Nuclear gene, Mitochondrial DNA, Mitochondrion, Maximum likelihood, Data set, Bioinformatics"
A5083636669,Petra Miletínová,,4,19,0,1,1,"Czech Academy of Sciences, Institute of Microbiology","Stop codon, Genetics, Biochemistry, RNA, Biology, Gene, Transfer RNA, Chemistry, Amino acid, Mutant, Genetic code, Computer science, Linguistics, Open reading frame, Ribosomal RNA, Computational biology, Database, Ribosome, Messenger RNA, P-site, Operating system, Philosophy, Translation (biology), Peptide sequence, Mutation"
A5084742254,Linda Dombrowski,,4,26,4,2,2,Max Planck Institute for Evolutionary Anthropology,"Biology, Genetics, Genetic code, Nuclear magnetic resonance, Biochemistry, Gene, Physics, Genome, Purine metabolism, Organic chemistry, Enzyme, Chemistry, Amino acid, DNA, Biosynthesis, Purine, Ecology, Linguistics, Botany, Interspecific competition, Computational biology, Evolutionary biology, Geology, Mutualism (biology), Philosophy"
A5085611524,Dmitri Zubkov,,4,17,4,2,1,Skolkovo Institute of Science and Technology,"Biology, Genetics, Genetic code, Nuclear magnetic resonance, Biochemistry, Gene, Physics, Genome, Purine metabolism, Organic chemistry, Enzyme, Chemistry, Amino acid, DNA, Biosynthesis, Purine, Psychology, Computer science, Linguistics, Clinical psychology, Computational biology, Medicine, Social psychology, Evolutionary biology, Psychiatry"
